HIP,Age,Age_lolim,Age_hilim
64792,0.1,0.1,0.1
64794,7.69,2.76,1.49
65721,7.89,0.22,0.23
66974,5.55,0.47,0.39
51258,5.73,0.49,2.17
52369,3.45,1.13,2.8
50671,6.83,1.51,1.6
51933,5.56,1.0,0.58
53196,2.78,0.97,0.77
50534,0.75,0.16,0.71
49615,5.38,0.96,1.51
51784,3.81,0.42,1.03
50965,10.16,5.02,0.71
54582,9.26,1.56,0.35
55666,5.05,1.18,0.24
56572,6.43,1.82,3.76
55288,8.91,1.97,1.54
55288,2.86,0.61,1.32
57629,2.4,0.47,0.29
57757,3.25,0.26,0.25
55664,4.94,2.22,5.57
57370,4.94,1.92,5.85
56445,2.0,0.87,0.11
52409,4.61,1.84,0.48
55022,4.64,2.02,0.93
55848,,,
55846,3.45,1.12,3.97
48351,4.55,1.15,0.17
47588,14.19,1.1,0.41
48711,5.12,0.85,1.3
47990,5.14,2.13,1.22
50005,6.43,2.95,5.73
49756,4.95,1.64,2.13
47292,8.73,1.12,0.93
46580,0.4,0.1,0.1
50870,3.7,0.39,0.32
53725,12.39,2.66,0.7
53049,4.38,1.32,1.48
50473,6.64,1.85,0.96
50826,6.43,2.93,4.01
58843,13.14,5.95,0.28
59610,7.03,1.15,1.34
59589,9.01,2.03,1.88
55757,3.5,0.9,0.34
55642,1.46,0.14,0.13
57080,6.06,0.49,0.56
62198,8.67,3.14,0.81
61901,13.16,8.02,0.18
63881,9.01,2.41,0.91
64797,1.0,0.2,0.2
64426,14.24,1.9,0.18
64241,0.4,0.1,0.1
63330,4.9,1.1,0.15
62162,8.2,0.65,0.78
62523,4.94,2.65,3.67
61028,5.54,1.52,3.61
62507,9.24,1.0,0.83
56242,2.1,0.3,0.3
55765,2.0,0.23,0.06
57617,6.68,0.47,0.7
55592,10.16,5.38,0.41
55868,5.58,2.64,1.85
52015,7.05,0.91,1.05
53537,5.24,1.32,1.44
54375,3.32,1.7,2.21
54196,8.72,0.57,0.7
59233,,,
59735,8.89,2.05,1.6
60314,5.66,3.08,1.0
57300,6.5,0.83,0.91
56186,3.87,1.04,0.82
56997,1.3,0.3,0.3
57939,,,
58287,5.1,0.26,0.45
87116,4.94,2.28,3.46
90485,2.9,0.34,0.15
89620,3.66,0.3,1.56
85423,1.24,0.04,0.03
87824,2.95,1.04,0.95
88937,3.04,1.43,2.49
87370,7.21,1.59,1.23
88039,10.11,1.95,1.22
92929,3.66,1.3,0.82
91287,7.87,3.27,1.31
90655,5.56,1.07,0.93
91438,4.39,1.99,2.79
94129,11.93,1.09,1.2
90790,5.75,2.92,5.29
92882,1.87,0.22,0.26
84405,1.4,0.3,0.3
84478,0.6,0.1,0.1
85285,10.96,2.31,2.32
84856,4.15,1.33,0.11
82621,7.53,0.37,0.33
81754,2.66,0.34,0.4
82265,10.16,3.88,2.02
85397,2.56,0.23,0.21
88010,,,
90004,12.22,1.82,1.42
89583,13.14,4.1,0.65
89844,9.6,0.12,0.92
86985,6.52,0.68,0.54
87533,7.98,0.71,0.72
88175,1.8,0.13,0.15
97063,2.03,0.36,0.29
96536,2.9,0.01,1.07
98532,11.63,1.19,1.0
98416,7.01,1.12,0.87
93827,13.72,1.24,0.62
95962,5.37,2.13,1.48
101136,4.51,0.48,1.14
100783,3.1,0.29,0.36
99711,1.5,0.2,0.2
99025,3.5,0.28,0.89
96402,10.15,1.26,1.49
96948,7.67,1.09,1.77
98698,1.5,0.3,0.3
91332,7.63,1.54,0.84
91880,2.15,0.2,0.26
90539,11.65,4.6,1.42
94449,9.63,1.59,1.65
93138,2.68,0.34,0.38
91237,2.74,0.57,0.43
96351,1.3,0.41,0.52
96142,13.14,6.23,0.57
95740,3.52,0.69,0.71
97675,1.2,0.3,0.3
98020,13.14,7.32,0.22
94068,1.31,0.06,0.07
