Name,HD,HIP,d,B1Age,DAge,YAge,B2Age,ARange,<Age>
HD 50281,"50281  ",32984,8.7,1.88,1.22,5.92,4.22,4.7,3.31
HD 50206,"50206  ",32993,103.5,2.58,3.13,2.28,2.23,0.9,2.55
HD 50806,"50806  ",33094,25.9,6.31,9.5,8.25,11.13,4.82,8.8
HD 50554,"50554  ",33212,29.9,1.77,3.75,2.33,3.05,1.98,2.73
HD 50867,"50867  ",33275,53.7,2.03,5.0,2.16,2.79,2.97,3.0
37 Gem,"50692  ",33277,17.2,5.16,4.83,4.17,5.38,1.21,4.88
HD 51219,"51219  ",33382,31.3,5.63,8.5,2.98,9.39,6.41,6.63
HD 51419,"51419  ",33537,24.6,2.25,3.5,2.61,12.5,10.25,5.22
39 Gem,"51530  ",33595,47.7,4.5,4.88,4.5,3.9,0.98,4.44
HD 52265,"52265  ",33719,29.0,1.13,3.25,1.3,3.13,2.12,2.2
HD 52698,"52698  ",33817,14.6,4.78,4.41,2.6,6.6,4.0,4.6
HD 51866,"51866  ",33852,20.1,7.68,5.04,5.08,6.27,2.64,6.02
HD 52634,"52634  ",33941,85.3,6.12,9.25,4.86,6.21,4.39,6.61
HD 52711,"52711  ",34017,19.1,1.4,4.34,2.19,4.16,2.95,3.02
HD 53927,"53927  ",34414,22.3,5.36,11.75,6.25,5.48,6.39,7.21
HD 54371,"54371  ",34567,25.2,5.94,7.5,2.76,8.85,6.09,6.26
HR 2692,"54563  ",34608,45.8,4.74,,7.0,8.83,4.1,6.86
HD 55054,"55054  ",34767,77.4,3.16,9.2,5.0,5.25,6.04,5.65
HD 55693,"55693  ",34879,36.5,2.51,5.06,3.2,5.0,2.55,3.94
HD 55575,"55575  ",35136,16.9,5.01,6.56,6.0,11.5,6.49,7.27
HD 56303,"56303  ",35209,41.3,2.0,5.75,3.0,6.5,4.5,4.31
HD 56515,"56515  ",35310,41.6,6.42,9.25,6.0,6.25,3.25,6.98
HD 57006,"57006  ",35509,53.3,2.51,2.63,2.25,2.13,0.5,2.38
HD 57707,"57707  ",35751,71.4,,1.5,1.47,1.38,0.13,1.45
HD 58781,"58781  ",36249,28.3,7.66,8.5,4.5,9.0,4.5,7.42
