recno,HIP,B-V,Vmag,SMW,e_SMW,log(R'HK),vsini,RV,e_RV,Uvel,e_Uvel,Vvel,e_Vvel,Wvel,e_Wvel,_RA,_DE
678,79149,0.648,8.66,0.143,0.004,-5.11,2.5,-52.5,1.6,-60.3,2.1,-26.8,5.5,-21.3,1.5,242.0,-35.0
690,80486,0.575,7.96,0.127,0.003,-5.27,9.3,22.8,1.9,18.7,1.9,-18.2,1.7,3.2,0.6,246.0,-34.0
714,83177,0.645,8.89,0.164,0.004,-4.97,2.5,-28.4,1.7,-31.8,1.7,-15.9,2.0,7.0,1.2,255.0,-32.0
708,81767,0.683,7.84,0.145,0.004,-5.11,3.4,13.7,1.7,16.0,1.6,-16.2,1.0,-21.2,1.6,251.0,-29.0
677,78998,0.682,8.61,0.147,0.004,-5.09,3.5,27.2,1.7,25.1,1.6,-20.8,1.7,-5.9,1.6,242.0,-32.0
688,80171,0.68,8.8,0.154,0.004,-5.04,2.3,-20.2,1.7,-35.7,2.1,-68.5,6.1,14.6,1.8,245.0,-25.0
568,61123,0.8,9.26,0.179,0.004,-4.96,2.5,31.7,1.7,24.0,1.0,-22.4,1.5,4.5,0.3,188.0,-59.0
588,62809,0.616,8.48,0.169,0.004,-4.93,2.5,2.9,1.7,-119.3,5.9,-87.2,4.3,-46.1,2.2,193.0,-57.0
602,64005,0.625,8.81,0.163,0.004,-4.97,2.9,34.3,1.7,29.6,1.4,-23.3,1.4,-15.0,1.8,197.0,-57.0
614,65126,0.569,8.72,0.217,0.005,-4.7,5.0,-19.6,1.7,-16.0,1.1,11.8,1.4,-4.1,0.4,200.0,-52.0
627,66990,0.735,8.25,0.143,0.003,-5.13,3.3,-15.4,1.7,-58.4,3.5,-35.2,3.4,-20.6,1.2,206.0,-52.0
542,58523,0.561,8.53,0.154,0.004,-5.01,5.2,30.3,1.7,4.6,1.1,-30.9,1.6,5.4,0.4,180.0,-55.0
573,61698,0.583,8.34,0.287,0.006,-4.51,3.9,-7.2,1.7,-19.6,1.4,-3.7,1.6,-2.7,0.4,190.0,-51.0
604,64058,0.746,8.75,0.156,0.004,-5.05,2.5,25.2,1.6,-24.1,2.4,-50.2,2.2,-4.0,0.6,197.0,-50.0
591,63009,0.728,8.93,0.15,0.004,-5.08,2.5,7.2,1.7,-68.6,8.2,-57.2,5.9,-8.9,1.3,194.0,-48.0
606,64214,0.53,8.36,0.236,0.005,-4.62,5.8,-16.2,1.8,-15.2,1.1,8.0,1.4,-4.9,0.5,197.0,-46.0
617,65377,0.518,8.5,0.15,0.004,-5.03,,,,,,,,,,201.0,-46.0
618,65390,0.684,9.33,0.379,0.007,-4.4,3.3,9.1,1.7,-13.5,1.8,-23.6,1.9,-1.0,0.6,201.0,-45.0
641,69129,0.875,9.25,0.18,0.004,-4.99,2.8,15.7,1.7,-42.5,3.4,-67.7,3.6,-12.6,0.9,212.0,-52.0
645,70227,0.628,9.36,0.167,0.004,-4.95,1.6,20.2,1.7,7.4,1.6,-26.1,2.1,-6.3,1.7,216.0,-45.0
648,70724,0.676,8.85,0.169,0.004,-4.95,1.9,9.6,1.6,-20.4,2.4,-43.1,3.0,-9.1,1.0,217.0,-46.0
656,71640,0.652,8.9,0.227,0.005,-4.71,2.9,12.0,1.7,-0.2,1.6,-19.1,1.6,4.6,0.6,220.0,-42.0
658,71818,0.566,9.02,0.192,0.004,-4.79,4.7,-27.6,1.7,-37.3,2.6,-9.3,3.7,-13.3,1.0,220.0,-41.0
647,70627,0.653,9.48,0.295,0.006,-4.53,3.6,-5.4,1.7,6.1,1.8,11.1,1.4,-10.7,1.2,217.0,-40.0
652,71296,0.802,8.76,0.145,0.004,-5.12,2.7,8.1,1.7,3.6,1.3,-13.1,1.2,-5.4,1.0,219.0,-39.0
650,71103,0.569,8.53,0.233,0.005,-4.64,3.2,-30.1,1.7,-44.1,2.2,-14.4,2.7,-13.0,0.7,218.0,-38.0
626,66813,0.595,9.18,0.161,0.004,-4.97,3.0,36.0,1.7,2.5,2.3,-44.9,2.4,10.6,0.7,205.0,-41.0
633,67348,0.663,9.48,0.157,0.004,-5.02,3.0,-42.7,1.7,-55.4,3.4,7.0,2.7,-5.1,1.4,207.0,-39.0
642,69660,0.61,8.76,0.156,0.004,-5.01,3.0,-4.4,1.7,-40.3,3.9,-54.9,5.8,-20.8,2.0,214.0,-38.0
564,60808,0.872,8.72,0.313,0.006,-4.68,2.7,-27.0,1.6,-57.5,2.1,2.7,1.7,12.0,0.8,187.0,-50.0
576,61907,0.882,9.34,0.184,0.005,-4.98,2.4,27.5,1.6,8.3,0.9,-39.5,1.7,-35.4,2.6,190.0,-48.0
548,59027,0.594,8.76,0.157,0.004,-4.99,2.1,53.6,1.7,-45.9,6.5,-80.0,3.4,11.5,0.4,182.0,-50.0
546,58840,0.623,9.29,0.163,0.004,-4.97,1.0,28.0,1.6,37.4,2.9,-13.9,1.9,1.2,0.7,181.0,-49.0
544,58691,0.694,9.22,0.165,0.004,-4.98,2.8,-10.9,1.6,-51.9,4.7,-16.0,2.9,-17.6,1.5,181.0,-49.0
562,60658,0.692,9.49,0.212,0.005,-4.78,2.3,17.8,1.6,35.7,3.3,-5.8,1.7,-11.1,2.0,186.0,-45.0
579,61999,0.616,9.48,0.151,0.004,-5.05,2.7,39.1,1.7,-14.1,4.4,-50.1,2.7,16.9,0.8,191.0,-43.0
607,64259,0.809,9.15,0.138,0.004,-5.16,2.7,20.6,1.6,-56.7,7.5,-61.4,5.1,18.5,1.4,198.0,-45.0
594,63426,0.686,9.33,0.161,0.004,-5.0,2.9,32.1,1.7,-6.7,2.5,-54.1,3.2,-17.5,2.9,195.0,-43.0
603,64011,0.602,8.49,0.374,0.007,-4.36,,,,,,,,,,197.0,-38.0
