recno,Name,B-V,Nobs,S,logRHK,Prot,logA,sRV1,sRV2,OCat,SimbadName,_RA,_DE
306,102574,0.585,13,0.13,-5.23,,10.07,2.0,2.6,1,"HD 102574 ",177.09786,-10.3131
359,115080,0.683,5,0.156,-5.03,,9.86,2.4,2.2,1,"HD 115080 ",198.73218,-11.36942
365,117860,0.624,12,0.281,-4.54,9,8.9,4.6,13.4,0,"HD 117860 ",203.29714,-8.44335
386,125906B,0.584,8,0.155,-5.01,,9.83,2.5,2.6,0,ADS 9237 B,215.66112,-7.76884
387,125906A,0.584,14,0.156,-5.0,18,9.82,2.5,2.6,0,ADS 9237 A,215.66104,-7.76786
382,124553,0.593,8,0.159,-4.98,19,9.8,2.5,2.6,1,"HD 124553 ",213.58879,-5.94772
353,113449,0.847,4,0.581,-4.34,6,8.27,4.1,14.9,0,"HD 113449 ",195.95689,-5.16181
340,109930,0.894,7,0.202,-4.94,45,9.74,2.3,2.1,0,"HD 109930 ",189.68443,-5.32768
277,93489,0.62,12,0.155,-5.02,,9.85,2.4,2.4,0,"HD 93489  ",161.86923,-13.97913
275,92719,0.622,13,0.179,-4.88,19,9.64,2.8,2.4,2,"HD 92719  ",160.55551,-13.78771
281,94690,0.71,2,0.169,-4.96,33,9.77,2.2,2.1,0,"HD 94690  ",163.93073,-5.5516
261,89418,0.569,20,0.156,-4.99,16,9.81,2.5,2.7,0,"HD 89418  ",154.75087,-11.18508
302,101093,0.561,7,0.161,-4.96,15,9.77,2.6,2.7,0,"HD 101093 ",174.49627,-1.59944
309,102843,0.787,7,0.186,-4.92,38,9.71,2.3,2.1,0,"HD 102843 ",177.58721,-1.25245
249,85380,0.577,10,0.141,-5.12,,9.92,2.2,2.6,1,"HD 85380  ",147.84007,-6.18193
503,165385,0.581,5,0.13,-5.24,,10.08,2.0,2.6,0,"HD 165385 ",271.83866,-36.87358
509,166745,0.763,4,0.155,-5.06,,9.88,2.1,2.1,0,"HD 166745 ",273.38846,-33.49906
495,160411,0.655,5,0.122,-5.34,,10.19,1.8,3.9,0,"HD 160411 ",265.3151,-34.9692
498,162907,0.758,12,0.159,-5.03,,9.86,2.1,2.1,0,"HD 162907 ",268.62531,-26.63209
502,165204,0.77,5,0.16,-5.03,,9.86,2.1,2.1,0,"HD 165204 ",271.44472,-23.51773
505,165920,0.9,3,0.152,-5.11,,9.91,2.0,2.1,1,"HD 165920 ",272.32366,-22.90844
519,174494,0.694,4,0.144,-5.12,,9.92,2.2,2.6,0,"HD 174494 ",282.97549,-28.20022
516,173206,0.619,4,0.155,-5.02,,9.84,2.4,2.5,0,"HD 173206 ",281.26918,-23.25206
532,178340,0.757,4,0.163,-5.01,,9.83,2.2,2.1,0,"HD 178340 ",287.23716,-17.53581
475,151450,0.566,3,0.154,-5.01,,9.83,2.5,2.7,0,"HD 151450 ",252.00767,-15.96395
501,165011,0.576,3,0.141,-5.12,,9.93,2.2,2.6,0,"HD 165011 ",271.0852,-10.91052
499,163568,0.556,4,0.152,-5.02,,9.85,2.4,2.7,0,"HD 163568 ",269.29165,-8.06894
496,161098,0.676,7,0.163,-4.99,30,9.81,2.5,2.2,0,"HD 161098 ",265.93439,-3.91786
548,184317,0.614,10,0.153,-5.03,,9.86,2.4,2.5,0,"HD 184317 ",293.60843,-12.92668
544,182498,0.601,4,0.165,-4.95,19,9.75,2.6,2.5,0,"HD 182498 ",291.32789,-11.51366
538,180409,0.57,11,0.15,-5.04,,9.86,2.4,2.7,1,"HD 180409 ",289.21756,-10.97178
518,173872,0.889,3,0.198,-4.94,45,9.74,2.2,2.1,1,"HD 173872 ",282.00618,-10.14631
447,144088,0.85,4,0.354,-4.59,21,9.03,3.0,6.0,2,"HD 144088 ",241.11133,-11.44989
446,144087,0.75,6,0.313,-4.57,16,8.97,2.9,8.3,2,"HD 144087 ",241.10802,-11.44938
483,154697,0.735,2,0.222,-4.77,26,9.45,2.4,4.1,1,"HD 154697 ",256.8101,-2.86695
436,142072,0.67,12,0.31,-4.51,10,8.81,5.1,13.1,0,"HD 142072 ",238.14062,-1.90633
142,35877,0.573,2,0.216,-4.7,10,9.3,3.5,8.5,0,"HD 35877  ",76.8276,-83.8599
135,33214,0.89,4,0.326,-4.67,27,9.24,2.8,4.2,1,"HD 33214  ",73.0864,-82.47601
144,35267,0.513,5,0.129,-5.24,,10.08,2.1,2.9,0,"HD 35267  ",77.60611,-80.40786
116,25797,0.422,6,0.207,-4.71,2,9.32,3.1,11.9,0,"HD 25797  ",59.30202,-76.51081
58,13060,0.797,5,0.217,-4.82,33,9.55,2.4,2.1,0,"HD 13060  ",30.19672,-80.53271
59,12951,0.576,9,0.13,-5.23,,10.08,2.0,2.6,0,"HD 12951  ",30.23793,-78.87031
9,1237,0.75,1,0.458,-4.36,6,8.33,3.5,18.4,1,"HD 1237   ",4.05282,-79.85118
89,19880,0.715,4,0.134,-5.2,,10.03,2.0,2.6,0,"HD 19880  ",46.15058,-77.16603
87,19493,0.695,2,0.135,-5.19,,10.02,2.0,2.6,0,"HD 19493  ",45.71273,-72.45725
90,20003,0.771,6,0.187,-4.91,36,9.7,2.3,2.1,0,"HD 20003  ",46.90799,-72.32189
131,30306,0.747,4,0.15,-5.08,,9.91,2.1,2.1,1,"HD 30306  ",69.99165,-71.50561
125,28701,0.65,4,0.145,-5.1,,9.9,2.2,2.3,0,"HD 28701  ",66.44104,-69.99369
168,41158,0.519,2,0.142,-5.09,,9.92,2.3,2.8,0,"HD 41158  ",89.3092,-69.4779
152,37351,0.594,5,0.191,-4.81,15,9.52,3.1,5.0,0,"HD 37351  ",83.30705,-65.02269
110,24085,0.595,6,0.148,-5.07,,9.89,2.3,2.6,0,"HD 24085  ",56.25646,-70.0241
124,28471,0.65,4,0.144,-5.11,,9.91,2.2,2.3,0,"HD 28471  ",66.28813,-64.08007
114,25054,0.536,5,0.154,-5.0,,9.82,2.5,2.7,0,"HD 25054  ",58.84768,-60.90721
112,24650,0.569,6,0.14,-5.13,,9.94,2.2,2.7,0,"HD 24650  ",57.92853,-60.36005
48,10576,0.59,9,0.142,-5.11,,9.91,2.2,2.6,0,"HD 10576  ",25.13433,-69.98697
12,1893,0.769,11,0.244,-4.73,26,9.36,2.5,4.4,0,"HD 1893   ",5.64489,-73.03235
18,4333,0.414,4,0.175,-4.86,3,9.62,2.4,4.0,0,"HD 4333   ",11.13055,-71.16866
71,15234,0.417,7,0.17,-4.89,3,9.66,2.4,3.0,0,"HD 15234  ",36.20502,-61.46047
3,225299,0.71,6,0.193,-4.86,28,9.61,2.3,2.1,0,"HD 225299 ",1.24466,-70.21244
1,224789,0.863,7,0.458,-4.47,14,8.71,3.5,8.8,1,"HD 224789 ",0.168,-69.67596
51,10678,0.714,7,0.213,-4.79,25,9.48,2.4,4.1,0,"HD 10678  ",25.65423,-58.41315
78,17289,0.588,3,0.139,-5.14,,9.96,2.2,2.6,0,"HD 17289  ",40.89779,-62.9192
76,16950,0.616,6,0.128,-5.26,,10.11,2.0,2.6,0,"HD 16950  ",40.18171,-58.1372
100,21036,0.73,4,0.29,-4.6,17,9.05,2.8,7.8,0,"HD 21036  ",50.34943,-52.85513
105,22177,0.717,6,0.15,-5.08,,9.9,2.1,2.1,0,"HD 22177  ",53.0077,-52.47386
65,13808,0.87,4,0.235,-4.83,37,9.56,2.4,2.1,1,"HD 13808  ",33.17886,-53.74389
