recno,HIP,BD/HD,Rem,SpType,n_SpType,Teff,log(g),f_log(g),xi,f_xi,[M/H],f_[M/H],n_[M/H],SMW,logR'HK,AC,Res,n_AC,n_HIP,SimbadName,_RA,_DE
506,87773,BD+33 2990," ",K6 V," ",,," ",," ",," "," ",1.312,-4.479,"A ",3.6," ",,HIP 87773,268.9585,33.4206
507,,BD+33 2990C," ",M2.5 V," ",,," ",," ",," "," ",,,"  ",," ",,ADS 10903C,268.9606,33.4228
515,88972,HD 166620," ",K2 V," ",4900,4.53,f,1.0,f,-0.61," "," ",0.159,-5.067,"I ",3.6," ",,HIP 88972,272.4059,38.4578
110,17378,HD 23249," ",K1 IV," ",4984,3.61," ",1.0,f,0.18," "," ",,,"  ",," ",,HIP 17378,55.8121,-9.7634
108,16537,HD 22049," ",K2 V (k)," ",5120,4.53,f,1.0,f,-0.1," "," ",0.346,-4.634,"A ",3.6," ",,HIP 16537,53.2327,-9.4583
106,15919,HD 21197," ",K4 V," ",,," ",," ",," "," ",0.644,-4.724,"A ",3.6," ",,HIP 15919,51.2489,-5.3638
79,12444,HD 16673," ",F8 V," ",6250,4.28," ",1.7," ",-0.1," "," ",0.239,-4.586,"A ",1.8," ",,HIP 12444,40.0518,-9.4529
239,39757,HD 67523," ",F5II kF2II mF5II," ",,," ",," ",," "," ",,,"  ",," ",,HIP 39757,121.886,-24.3043
269,45839,HD 80632," ",K5- V," ",,," ",," ",," "," ",0.592,-4.778,"I ",3.6," ",,HIP 45839,140.1847,-5.754
254,42333,HD 73350," ",G5 V," ",5754,4.37," ",1.0,f,0.04," "," ",0.245,-4.657,"A ",1.8," ",,HIP 42333,129.4596,-6.8069
444,77349," "," ",M2.5 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 77349,236.8527,-10.8965
425,75253,HD 136713," ",K3 IV-V," ",,," ",," ",," "," ",0.26,-4.878,"I ",3.6," ",,HIP 75253,230.6529,-10.6611
435,76219,HD 138716," ",K1 III-IV," ",4724,2.75," ",1.0,f,-0.06," ",K,,,"  ",," ",,HIP 76219,233.5446,-10.0645
440,76602,HD 139460," ",F7 V," ",6298,4.42," ",1.6," ",-0.03," "," ",0.183,-4.793,"I ",1.8," ",,HIP 76602,234.6664,-8.7947
441,76603,HD 139461," ",F6.5 V," ",6329,4.33," ",1.5," ",-0.06," "," ",0.169,-4.861,"I ",1.8," ",,HIP 76603,234.667,-8.7915
432,75722,HD 137778," ",K2 V," ",5081,4.46,f,1.0,f,0.01," "," ",0.467,-4.472,"A ",3.6," ",,HIP 75722,232.0509,-9.3579
431,75718,HD 137763," ",G9 V," ",5390,4.42," ",1.0,f,0.0," "," ",0.153,-5.072,"I ",3.6," ",,HIP 75718,232.04,-9.3481
401,70956,HD 127339," ",M0.5- V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 70956,217.6988,-8.6463
415,73717,HD 133352," ",G8 V," ",5430,4.59," ",1.0,f,-0.12," "," ",0.149,-5.09,"I ",1.8," ",,HIP 73717,226.0289,-6.8874
570,101345,HD 195564,*,G2 V," ",5560,3.74," ",1.4," ",-0.09," "," ",0.134,-5.196,VI,1.8," ",,HIP 101345,308.0987,-9.8534
586,103682,HD 199960,*,G1 V," ",5861,4.01," ",1.3," ",0.16," "," ",0.144,-5.108,VI,1.8," ",,HIP 103682,315.141,-4.7303
