main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode,i,i_err,i_bibcode,r,r_err,r_bibcode,j,j_err,j_bibcode
HD 217357,345.0671769879931,-22.5243476190278,HD 217357,GJ   884,HIP 113576,,K7+Vk,2006AJ....132..161G,121.4918,0.0507,2018yCat.1345....0G,7.869,,2010MNRAS.403.1949K,7.2521,6.0E-4,2018yCat.1345....0G,6.238,,2010MNRAS.403.1949K,7.014,,2010MNRAS.403.1949K,5.346,0.021,2003yCat.2246....0C
Ross  318,15.6343128610111,71.6798150826428,,GJ    48,HIP   4856,,M3.0Ve,2013AJ....145..102L,121.4237,0.0339,2018yCat.1345....0G,10.0,0.03,2000A&A...355L..27H,8.9334,6.0E-4,2018yCat.1345....0G,8.3,,2003AJ....125..984M,9.1,,2003AJ....125..984M,6.301,0.034,2003yCat.2246....0C
Ross   64,96.1720203706181,23.4330381489175,,GJ   232,,,M4V,1991ApJS...77..417K,117.741,0.0618,2018yCat.1345....0G,13.103,0.06,2012yCat.1322....0Z,11.6739,6.0E-4,2018yCat.1345....0G,10.1,,2003AJ....125..984M,12.691,0.08,2012yCat.1322....0Z,8.662,0.02,2003yCat.2246....0C
*  61 Vir,199.60130948166668,-18.311195735555557,HD 115617,GJ   506,HIP  64924,WDS J13184-1819A,G6.5V,1989ApJS...71..245K,116.89,0.22,2007A&A...474..653V,4.74,0.009,1993A&AS..100..591O,4.4772,0.004,2018yCat.1345....0G,,,,,,,3.334,0.2,2003yCat.2246....0C
* zet Tuc,5.017749880416666,-64.87479298888888,HD   1581,GJ    17,HIP   1599,,F9.5V,2006AJ....132..161G,116.46,0.16,2007A&A...474..653V,4.23,,2002yCat.2237....0D,3.9872,0.0081,2018yCat.1345....0G,3.4,,2002yCat.2237....0D,3.73,,2002yCat.2237....0D,3.19,,2002yCat.2237....0D
L   49-19,343.9396386928548,-75.4586680629159,,GJ   877,HIP 113229,,M3V,2010MNRAS.403.1949K,116.4127,0.0291,2018yCat.1345....0G,10.377,,2010MNRAS.403.1949K,9.283,6.0E-4,2018yCat.1345....0G,7.958,,2010MNRAS.403.1949K,9.312,,2010MNRAS.403.1949K,6.616,0.018,2003yCat.2246....0C
G  19-7,254.2739014244785,-4.3489770909285,,GJ  1207,,,M3.5Ve,2015AJ....149..106D,115.0339,0.0823,2018yCat.1345....0G,12.25,0.04,2014AJ....147...85R,10.9064,7.0E-4,2018yCat.1345....0G,9.432,0.021,2012AcA....62...67K,10.99,0.05,2014AJ....147...85R,7.971,0.023,2003yCat.2246....0C
MCC 135,177.7805689785803,35.2720135639359,,GJ   450,HIP  57802,,M1.5V,2015A&A...577A.128A,114.1376,0.039,2018yCat.1345....0G,9.802,0.01,2012yCat.1322....0Z,8.8485,6.0E-4,2018yCat.1345....0G,7.64,,2004AJ....128..463R,9.42,0.03,2012yCat.1322....0Z,6.419,0.02,2003yCat.2246....0C
HD 192310,303.82246523275126,-27.03297599572111,HD 192310,GJ   785,HIP  99825,,K2+V,2006AJ....132..161G,113.6481,0.1186,2018yCat.1345....0G,5.723,0.009,2000A&A...355L..27H,5.4532,0.0014,2018yCat.1345....0G,8.74,0.04,2005yCat.2263....0T,5.98,0.34,2009yCat.1315....0Z,4.11,0.29,2003yCat.2246....0C
BD-05  5715,332.41810156443626,-4.640736463082778,,GJ   849,HIP 109388,,M3.5V,1974ApJS...28....1J,113.6,0.0463,2018yCat.1345....0G,10.366,,2010MNRAS.403.1949K,9.2245,7.0E-4,2018yCat.1345....0G,7.877,,2010MNRAS.403.1949K,9.279,,2010MNRAS.403.1949K,6.51,0.024,2003yCat.2246....0C
G 111-47,119.5529244480518,41.3036991255043,,GJ  1105,HIP  38956,,M3.5Ve,2013AJ....145..102L,113.0897,0.0661,2018yCat.1345....0G,13.912,0.009,2000A&A...355L..27H,10.6656,5.0E-4,2018yCat.1345....0G,,,,11.698,0.06,2012yCat.1322....0Z,7.734,0.023,2003yCat.2246....0C
HD  32147,75.2041630608936,-5.7536723172099,HD  32147,GJ   183,HIP  23311,,K3+V,2003AJ....126.2048G,113.0236,0.0324,2018yCat.1345....0G,6.21,,2002yCat.2237....0D,5.8694,6.0E-4,2018yCat.1345....0G,4.87,,2002yCat.2237....0D,5.36,,2002yCat.2237....0D,4.45,,2002yCat.2237....0D
Ross  695,186.2187608095184,-18.2422916435183,,GJ   465,HIP  60559,,M2,2010MNRAS.403.1949K,112.7372,0.0669,2018yCat.1345....0G,11.272,,2010MNRAS.403.1949K,10.2805,6.0E-4,2018yCat.1345....0G,8.991,,2010MNRAS.403.1949K,10.243,,2010MNRAS.403.1949K,7.734,0.021,2003yCat.2246....0C
G 113-20,124.0332559923299,1.3025742335032,,GJ  2066,HIP  40501,,M2.0V,2015A&A...577A.128A,111.8419,0.0534,2018yCat.1345....0G,10.091,,2010MNRAS.403.1949K,9.1241,8.0E-4,2018yCat.1345....0G,7.851,,2010MNRAS.403.1949K,9.071,,2010MNRAS.403.1949K,6.625,0.026,2003yCat.2246....0C
