recno,Name,HIP,B-V,SHK,Jitter,logRHK,dMag,Prot,Age,Obs,SimbadName,_RA,_DE
1053,"HIP 68461 ",68461,0.703,0.156,2.218,-5.031,0.68,,7.18,K,HIP 68461,210.23288,39.2392
1654,"HD 118722 ",66493,0.612,0.15,2.598,-5.051,0.41,,7.56,K,HD 118722,204.46487,43.3667
1697,HD 124257B,,0.66,0.162,2.809,-4.982,,27,6.26,K,HD 124257B,212.74937,50.25157
1552,"HD 110743 ",62124,0.839,0.264,2.742,-4.738,0.29,30,2.4,K,HD 110743,190.97652,34.34372
985,"HIP 61205 ",61205,0.63,0.338,5.851,-4.43,-0.4,6,0.37,K,HIP 61205,188.12947,35.3312
1557,"HD 110897 ",62207,0.557,0.158,2.767,-4.972,-0.5,15,6.08,K,HD 110897,191.24752,39.27892
1513,"HD 107211 ",60094,0.665,0.172,2.968,-4.933,0.64,26,5.36,K,HD 107211,184.85341,39.6247
1537,"HD 109358 ",61317,0.59,0.166,2.889,-4.934,-0.2,17,5.38,K,HD 109358,188.4356,41.35748
1523,"HD 108464 ",60791,0.559,0.272,4.674,-4.529,3.95,6,0.73,L,HD 108464,186.88808,41.35506
1492,"HD 105631 ",59280,0.79,0.285,2.856,-4.652,0.07,23,1.54,K,HD 105631,182.40524,40.25205
1483,"HD 105031 ",58980,0.632,0.22,4.493,-4.712,4.38,16,2.12,L,HD 105031,181.39341,51.93118
1632,"HD 117378 ",65775,0.594,0.274,4.76,-4.54,-0.1,8,0.79,K,HD 117378,202.26368,42.23826
1638,"HD 117576 ",65900,0.641,0.195,3.372,-4.813,0.28,19,3.38,K,HD 117576,202.62921,44.58284
1628,"HD 117122 ",65641,0.692,0.173,3.006,-4.934,0.2,29,5.38,K,HD 117122,201.86505,44.70703
1665,"HD 120528 ",67388,0.67,0.175,3.031,-4.916,0.69,26,5.07,K,HD 120528,207.16809,53.26132
1599,"HD 114506 ",64250,0.745,0.26,2.733,-4.671,0.42,22,1.71,K,HD 114506,197.53938,53.62774
1593,"HD 113983 ",63956,0.783,0.173,4.348,-4.972,4.72,40,6.08,K,HD 113983,196.6038,57.02526
1626,"HD 116956 ",65515,0.804,0.48,3.812,-4.385,0.09,8,0.26,K,HD 116956,201.43972,56.97049
1528,"HD 108942 ",61044,0.697,0.187,3.249,-4.872,0.55,27,4.31,K,HD 108942,187.67453,50.97454
1532,"HD 109202 ",61203,0.633,0.153,2.654,-5.031,0.63,,7.19,K,HD 109202,188.12721,56.97634
968,"HIP 59431 ",59431,0.88,0.485,3.791,-4.465,0.42,14,0.47,K,HIP 59431,182.86164,53.41873
1496,"HD 105963 ",59432,0.88,0.563,4.176,-4.392,0.23,9,0.28,K,HD 105963,182.86564,53.42151
2609,"HD 238069 ",58983,0.665,0.175,3.029,-4.914,0.84,25,5.03,K,HD 238069,181.39784,56.97885
