main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode,i,i_err,i_bibcode,r,r_err,r_bibcode
CD-46    76,5.3317491193017,-45.7464190295317,,"GJ  9010,GJ    17.1",HIP   1696,,M1V,1974PhDT........10S,56.8562,0.0315,2018yCat.1345....0G,10.394,,2010MNRAS.403.1949K,9.6286,4.0E-4,2018yCat.1345....0G,8.49,,2010MNRAS.403.1949K,9.456,,2010MNRAS.403.1949K
Ross  268,331.5942396177295,17.37243635468,,,,,M3.5Ve,2013AJ....145..102L,56.8304,0.1072,2018yCat.1345....0G,13.146,0.05,2012yCat.1322....0Z,11.8371,6.0E-4,2018yCat.1345....0G,10.1,,2003AJ....125..984M,12.795,0.08,2012yCat.1322....0Z
Wolf  926,323.7097460241919,51.5371106770549,,GJ  4205,HIP 106557,,M2.5Ve,2013AJ....145..102L,56.7717,0.0425,2018yCat.1345....0G,11.77,,2001KFNT...17e.409K,10.7173,6.0E-4,2018yCat.1345....0G,9.9,,2003AJ....125..984M,10.8,,2003AJ....125..984M
LP  728-71,148.1740792801761,-15.603822640975899,,,,,M3.5V,2015A&A...577A.128A,56.6977,0.064,2018yCat.1345....0G,13.463,0.052,2014AJ....148...81M,12.1871,7.0E-4,2018yCat.1345....0G,10.74,0.03,2005yCat.2263....0T,13.165,0.09,2012yCat.1322....0Z
UCAC4 463-128595,319.113684526891,2.5809418954549,,,,,M3.0Ve,2013AJ....145..102L,56.6935,0.0596,2018yCat.1345....0G,11.967,0.01,2012yCat.1322....0Z,10.8595,8.0E-4,2018yCat.1345....0G,9.5,,2003AJ....125..984M,11.639,0.06,2012yCat.1322....0Z
Wolf  990,331.6931811902845,3.4177389216552,,GJ  4257,,,M4,1985ApJS...59..197B,56.6541,0.0912,2018yCat.1345....0G,13.774,0.04,2012yCat.1322....0Z,12.2965,6.0E-4,2018yCat.1345....0G,10.8,,2003AJ....125..984M,13.364,0.13,2012yCat.1322....0Z
G  48-6,140.2414505604565,3.3684546125251,,GJ  3553,,,M4V,2014AJ....147...20N,56.6354,0.061,2018yCat.1345....0G,13.349,0.02,2012yCat.1322....0Z,12.1156,4.0E-4,2018yCat.1345....0G,10.9,,2003AJ....125..984M,13.014,0.12,2012yCat.1322....0Z
L  257-54,202.60748708188498,-52.04451105504472,,GJ  3787,,,M3.5,,56.6081,0.1004,2018yCat.1345....0G,13.1,,,11.9154,6.0E-4,2018yCat.1345....0G,,,,12.756,0.08,2012yCat.1322....0Z
L  415-82,269.3092662388903,-41.9914351508699,,GJ  4036,,,M3V,1974PhDT........10S,56.5199,0.0438,2018yCat.1345....0G,11.36,,1982MNRAS.201...51R,10.4051,5.0E-4,2018yCat.1345....0G,9.2,0.04,2005yCat.2263....0T,10.88,0.03,2012yCat.1322....0Z
G  43-23,150.6768555459476,14.9869472567,,GJ  3582,,,M4,,56.4921,0.3675,2018yCat.1345....0G,14.17,0.01,2012yCat.1322....0Z,12.7484,7.0E-4,2018yCat.1345....0G,,,,13.984,0.08,2012yCat.1322....0Z
UCAC4 371-059841,164.1621430952805,-15.881531795867,,,,,M3,2014MNRAS.443.2561G,56.4742,0.0466,2018yCat.1345....0G,11.814,0.01,2012yCat.1322....0Z,10.7299,9.0E-4,2018yCat.1345....0G,,,,11.514,0.05,2012yCat.1322....0Z
G  90-44,121.7017154089361,36.7607663161882,,GJ  3479,,,M3.0Ve,2013AJ....145..102L,56.4409,0.0518,2018yCat.1345....0G,12.89,0.06,2012yCat.1322....0Z,11.7483,5.0E-4,2018yCat.1345....0G,10.4,,2003AJ....125..984M,12.63,0.12,2012yCat.1322....0Z
